created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 09:57:02 UTC,1,2.9,7.25,325.6,24.5625,1005.823
2017-06-30 09:57:22 UTC,2,2.9,6.25,324.32,24.625,1005.865
2017-06-30 09:57:42 UTC,3,2.9,6.25,328.16,24.625,1005.883
2017-06-30 09:58:02 UTC,4,2.9,6.25,324.96,24.6875,1005.855
2017-06-30 09:58:25 UTC,5,2.9,7.25,329.12,24.6875,1005.805
2017-06-30 09:58:44 UTC,6,2.9,5.25,311.12,24.6875,1005.865
2017-06-30 09:59:02 UTC,7,2.9,6.25,324.32,24.6875,1005.85
2017-06-30 09:59:22 UTC,8,1.68,4.299999,324.32,24.6875,1005.843
2017-06-30 09:59:43 UTC,9,2.9,7.25,326.24,24.6875,1005.867
2017-06-30 10:00:03 UTC,10,1.9,4.25,307.2,24.6875,1005.9
2017-06-30 10:00:23 UTC,11,2.9,6.25,325.28,24.625,1005.888
2017-06-30 10:00:43 UTC,12,2.9,6.25,320.08,24.5625,1005.915
2017-06-30 10:01:03 UTC,13,2.9,6.25,324.96,24.5625,1005.94
2017-06-30 10:01:23 UTC,14,2.9,6.25,316.88,24.5625,1005.877
2017-06-30 10:01:43 UTC,15,2.9,6.25,325.92,24.5,1005.888
2017-06-30 10:02:03 UTC,16,2.9,6.25,325.92,24.375,1005.923
2017-06-30 10:02:23 UTC,17,2.9,6.25,320.8,24.375,1005.91
2017-06-30 10:03:03 UTC,18,2.9,7.25,324.0,24.375,1005.905
2017-06-30 10:03:23 UTC,19,1.9,6.25,319.76,24.375,1005.872
2017-06-30 10:03:43 UTC,20,2.9,6.25,318.8,24.375,1005.855
2017-06-30 10:04:03 UTC,21,2.9,6.25,319.52,24.375,1005.867
2017-06-30 10:04:23 UTC,22,2.9,6.25,317.52,24.375,1005.875
2017-06-30 10:04:43 UTC,23,2.9,6.25,318.8,24.375,1005.847
2017-06-30 10:05:03 UTC,24,2.9,6.25,316.88,24.375,1005.852
2017-06-30 10:05:23 UTC,25,2.9,6.25,316.24,24.375,1005.84
2017-06-30 10:05:43 UTC,26,1.9,5.25,309.2,24.4375,1005.825
2017-06-30 10:06:03 UTC,27,2.9,6.25,314.32,24.5,1005.865
2017-06-30 10:06:23 UTC,28,2.9,6.25,323.04,24.4375,1005.89
2017-06-30 10:06:43 UTC,29,2.9,6.25,326.88,24.5,1005.867
2017-06-30 10:07:03 UTC,30,2.9,6.25,328.16,24.5625,1005.893
2017-06-30 10:07:23 UTC,31,2.9,6.25,328.16,24.5625,1005.89
2017-06-30 10:07:43 UTC,32,2.9,6.25,327.52,24.5625,1005.865
2017-06-30 10:08:03 UTC,33,2.9,6.25,324.0,24.5625,1005.907
2017-06-30 10:08:23 UTC,34,2.9,6.25,326.24,24.5625,1005.915
2017-06-30 10:08:43 UTC,35,2.9,6.25,324.64,24.5,1005.907
2017-06-30 10:09:04 UTC,36,1.68,4.299999,324.96,24.5625,1005.905
2017-06-30 10:09:23 UTC,37,2.9,6.25,324.32,24.5625,1005.917
2017-06-30 10:09:44 UTC,38,2.9,6.25,325.92,24.625,1005.925
2017-06-30 10:10:04 UTC,39,2.9,6.25,322.96,24.5625,1005.907
2017-06-30 10:10:24 UTC,40,2.9,6.25,327.2,24.5625,1005.93
2017-06-30 10:10:44 UTC,41,2.9,6.25,323.6,24.5625,1005.923
2017-06-30 10:11:04 UTC,42,2.9,6.25,328.48,24.5625,1005.867
2017-06-30 10:11:24 UTC,43,2.9,7.25,320.48,24.5625,1005.847
2017-06-30 10:11:44 UTC,44,2.9,6.25,326.24,24.625,1005.838
2017-06-30 10:12:04 UTC,45,1.9,5.25,324.24,24.5625,1005.79
2017-06-30 10:12:24 UTC,46,2.9,6.25,322.08,24.625,1005.823
2017-06-30 10:12:44 UTC,47,2.9,6.25,326.56,24.625,1005.798
2017-06-30 10:13:04 UTC,48,2.9,6.25,323.36,24.625,1005.872
2017-06-30 10:13:24 UTC,49,2.9,6.25,325.28,24.625,1005.805
2017-06-30 10:13:44 UTC,50,2.9,6.25,326.88,24.625,1005.83
2017-06-30 10:14:04 UTC,51,2.9,7.25,326.88,24.625,1005.815
2017-06-30 10:14:24 UTC,52,2.9,6.25,328.8,24.625,1005.87
2017-06-30 10:14:44 UTC,53,2.9,6.25,326.24,24.625,1005.81
2017-06-30 10:15:04 UTC,54,2.9,6.25,324.96,24.625,1005.83
2017-06-30 10:15:24 UTC,55,2.9,6.25,329.44,24.625,1005.85
2017-06-30 10:15:44 UTC,56,2.9,6.25,323.36,24.625,1005.845
2017-06-30 10:16:04 UTC,57,2.9,6.25,324.96,24.625,1005.825
2017-06-30 10:16:24 UTC,58,2.9,6.25,331.68,24.625,1005.838
2017-06-30 10:16:44 UTC,59,2.9,6.25,329.44,24.625,1005.88
2017-06-30 10:17:05 UTC,60,2.9,6.25,332.64,24.5625,1005.883
2017-06-30 10:17:25 UTC,61,2.9,6.25,326.56,24.5625,1005.885
2017-06-30 10:17:45 UTC,62,2.9,6.25,328.16,24.5625,1005.94
2017-06-30 10:18:05 UTC,63,1.68,4.299999,324.32,24.5,1005.952
2017-06-30 10:18:25 UTC,64,2.9,7.25,325.92,24.5,1005.965
